t.name,t.uri
arbuscular mycorrhizal association,http://purl.obolibrary.org/obo/GO_0036377
"archangelsk, Russian Federation",http://www.geonames.org/581049
arctic,http://www.wikidata.org/entity/Q25322
arctic Basin,http://www.wikidata.org/entity/Q3276839
arctoboreal,http://eol.org/schema/terms/arctoboreal
arkhangelsk Oblast,http://www.wikidata.org/entity/Q1875
"arkhangelskaya Bay, Novaya Zemya",http://eol.org/schema/terms/ArkhangelskayaBay
armutlu Peninsula,http://eol.org/schema/terms/ArmutluPeninsula
arsenate treated wood,http://purl.obolibrary.org/obo/ENVO_00002136
arsenic-rich mud,http://purl.obolibrary.org/obo/ENVO_00002122
arsuz Creek,http://eol.org/schema/terms/ArsuzCreek
artificial harbor,http://purl.obolibrary.org/obo/ENVO_00000464
artificial reef,http://purl.obolibrary.org/obo/ENVO_00000149
artillery Lake,http://www.wikidata.org/entity/Q1349878
aru Island,http://www.geonames.org/1651192
asexual reproduction,http://www.owl-ontologies.com/unnamed.owl#Asexual
ash cone,http://purl.obolibrary.org/obo/ENVO_00000399
asia Minor,http://www.wikidata.org/entity/Q12824780
asotin County,http://www.geonames.org/5785935
assam,http://www.geonames.org/1278253
atlantic wet pine savanna,http://eol.org/schema/terms/Atlantic_wet_pine_savanna
atlantic white-cedar forest,http://eol.org/schema/terms/Atlantic_white_cedar_forest
austral Islands,http://www.geonames.org/4034366
axel Heiberg Island,http://www.wikidata.org/entity/Q207666
aylmer Lake,http://www.wikidata.org/entity/Q793085
"aynov Island, Murmansk, Russia",http://www.geonames.org/573866
azores,http://www.geonames.org/3411865
babar,http://www.geonames.org/1650891
bacteria enriched soil,http://purl.obolibrary.org/obo/ENVO_00005757
baebunta,http://www.geonames.org/1650814
baffin Bay,http://www.wikidata.org/entity/Q37040
baffin Island,http://www.wikidata.org/entity/Q81178
bahamas EEz,http://marineregions.org/gazetteer.php?p=details&id=8404
baikal,http://www.geonames.org/2026986
bajada,http://purl.obolibrary.org/obo/ENVO_00000315
bakery,http://purl.obolibrary.org/obo/ENVO_00003864
bakır stream,http://www.geonames.org/322277
banda,http://www.geonames.org/1277400
bangka,http://www.geonames.org/1650312
bank,http://purl.obolibrary.org/obo/ENVO_00000141
banks Island,http://www.geonames.org/2176950
barents Sea,http://www.wikidata.org/entity/Q45823
barnegat Bay,http://www.geonames.org/4500631
barrow,http://www.geonames.org/5880054
basilan Island,http://www.geonames.org/1726402
batang Ai,http://www.geonames.org/10171053
"bathurst Island, Canada",http://www.wikidata.org/entity/Q217369
batjan Island,http://www.geonames.org/1650851
batman River,http://www.geonames.org/321835
"bear Island, Svalbard",http://www.wikidata.org/entity/Q194364
